Date,Open,High,Low,Close,Volume
08/01/2025,"1.570","1.620","1.570","1.580","7,955,100"
07/31/2025,"1.550","1.590","1.550","1.570","5,728,400"
07/30/2025,"1.560","1.560","1.490","1.550","7,093,100"
07/29/2025,"1.560","1.580","1.560","1.560","2,543,000"
07/28/2025,"1.560","1.580","1.550","1.550","2,984,600"
07/25/2025,"1.590","1.610","1.550","1.550","4,434,800"
07/24/2025,"1.610","1.620","1.570","1.590","5,643,400"
07/23/2025,"1.560","1.610","1.560","1.610","4,688,900"
07/22/2025,"1.620","1.650","1.550","1.560","8,539,300"
07/21/2025,"1.670","1.690","1.590","1.610","20,675,000"
07/18/2025,"1.650","1.730","1.640","1.700","19,132,301"
07/17/2025,"1.590","1.640","1.580","1.630","6,613,100"
07/16/2025,"1.530","1.620","1.530","1.580","9,012,000"
07/15/2025,"1.500","1.550","1.500","1.540","6,835,300"
07/14/2025,"1.480","1.500","1.470","1.500","3,055,700"
07/11/2025,"1.500","1.520","1.490","1.490","6,261,000"
07/10/2025,"1.460","1.500","1.430","1.500","8,921,900"
07/09/2025,"1.420","1.460","1.410","1.460","7,030,600"
07/08/2025,"1.380","1.430","1.370","1.430","7,921,200"
07/07/2025,"1.440","1.440","1.380","1.400","19,933,100"
07/04/2025,"1.450","1.520","1.450","1.500","6,340,400"
07/03/2025,"1.450","1.460","1.420","1.450","3,389,600"
07/02/2025,"1.450","1.470","1.430","1.450","2,640,200"
07/01/2025,"1.420","1.470","1.410","1.460","3,585,500"
06/30/2025,"1.460","1.470","1.410","1.420","5,232,800"
06/26/2025,"1.420","1.470","1.420","1.450","10,115,800"
06/25/2025,"1.370","1.420","1.370","1.410","9,234,800"
06/24/2025,"1.360","1.390","1.340","1.350","8,569,600"
06/23/2025,"1.280","1.360","1.260","1.350","8,411,400"
06/20/2025,"1.290","1.320","1.280","1.300","9,463,200"
06/19/2025,"1.290","1.320","1.270","1.280","6,476,400"
06/18/2025,"1.270","1.290","1.250","1.290","2,670,300"
06/17/2025,"1.260","1.280","1.250","1.270","4,553,300"
06/16/2025,"1.250","1.270","1.240","1.260","5,648,400"
06/13/2025,"1.260","1.290","1.250","1.260","6,878,900"
06/12/2025,"1.290","1.320","1.280","1.300","8,256,000"
06/11/2025,"1.240","1.300","1.240","1.290","8,304,400"
06/10/2025,"1.240","1.260","1.230","1.230","4,112,100"
06/09/2025,"1.250","1.260","1.220","1.240","5,557,800"
06/06/2025,"1.240","1.260","1.230","1.240","2,478,000"
06/05/2025,"1.220","1.260","1.220","1.250","5,126,500"
06/04/2025,"1.220","1.240","1.190","1.230","6,532,200"
06/03/2025,"1.280","1.290","1.200","1.210","8,444,700"
05/30/2025,"1.320","1.320","1.250","1.290","7,322,500"
05/29/2025,"1.330","1.400","1.300","1.320","12,155,200"
05/28/2025,"1.340","1.370","1.300","1.320","9,734,800"
05/27/2025,"1.300","1.300","1.280","1.300","2,049,800"
05/26/2025,"1.300","1.310","1.280","1.290","1,601,500"
05/23/2025,"1.270","1.320","1.270","1.290","3,548,300"
05/22/2025,"1.290","1.300","1.240","1.250","6,384,100"
05/21/2025,"1.320","1.330","1.290","1.300","2,844,100"
05/20/2025,"1.280","1.330","1.280","1.310","4,894,600"
05/19/2025,"1.320","1.320","1.250","1.260","10,271,200"
05/16/2025,"1.340","1.350","1.310","1.330","4,066,500"
05/15/2025,"1.310","1.360","1.300","1.330","9,635,700"
05/14/2025,"1.230","1.340","1.230","1.310","17,532,699"
05/13/2025,"1.230","1.240","1.220","1.230","4,338,100"
05/09/2025,"1.230","1.240","1.190","1.200","4,089,500"
05/08/2025,"1.190","1.230","1.180","1.220","9,157,500"
05/07/2025,"1.140","1.200","1.130","1.180","12,410,500"
05/06/2025,"1.120","1.150","1.120","1.130","4,992,800"
05/05/2025,"1.160","1.170","1.120","1.120","5,274,400"
05/02/2025,"1.140","1.150","1.120","1.150","7,225,300"
04/30/2025,"1.130","1.150","1.130","1.140","2,381,500"
04/29/2025,"1.140","1.150","1.120","1.120","3,306,500"
04/28/2025,"1.160","1.180","1.120","1.140","4,802,300"
04/25/2025,"1.140","1.160","1.130","1.150","4,605,900"
04/24/2025,"1.150","1.160","1.130","1.140","3,519,600"
04/23/2025,"1.120","1.150","1.110","1.140","4,756,100"
04/22/2025,"1.090","1.110","1.080","1.100","2,970,900"
04/21/2025,"1.120","1.140","1.100","1.110","5,883,400"
04/18/2025,"1.090","1.130","1.060","1.120","7,798,500"
04/17/2025,"1.020","1.100","1.020","1.090","8,031,100"
04/16/2025,"1.030","1.060","1.020","1.030","2,962,300"
04/15/2025,"1.040","1.040","1.010","1.040","2,769,700"
04/14/2025,"1.020","1.040","1.000","1.040","4,964,600"
04/11/2025,"0.930","0.995","0.930","0.980","3,472,300"
04/10/2025,"0.960","1.010","0.925","0.990","16,214,900"
04/09/2025,"0.910","0.910","0.825","0.860","11,631,200"
04/08/2025,"0.965","0.980","0.895","0.920","10,678,000"
04/07/2025,"1.000","1.000","0.925","0.935","8,576,000"
04/04/2025,"1.070","1.090","1.030","1.040","8,281,800"
04/03/2025,"1.060","1.130","1.060","1.090","5,866,800"
04/02/2025,"1.060","1.090","1.060","1.080","1,844,700"
03/28/2025,"1.050","1.090","1.030","1.080","7,353,600"
03/27/2025,"1.030","1.050","1.020","1.040","1,796,900"
03/26/2025,"1.060","1.070","1.020","1.040","3,358,900"
03/25/2025,"1.070","1.070","1.040","1.060","3,578,000"
03/24/2025,"1.050","1.060","1.020","1.060","2,702,600"
03/21/2025,"1.050","1.080","1.040","1.050","3,804,000"
03/20/2025,"1.100","1.110","1.040","1.050","4,813,100"
03/19/2025,"1.070","1.090","1.060","1.080","2,176,500"
03/17/2025,"1.100","1.120","1.080","1.080","3,460,800"
03/14/2025,"1.050","1.100","1.040","1.090","5,074,800"
03/13/2025,"1.040","1.060","1.020","1.050","9,310,300"
03/12/2025,"1.030","1.030","0.990","1.000","4,900,000"
03/11/2025,"0.970","1.030","0.955","1.030","7,287,200"
03/10/2025,"1.040","1.060","0.990","0.995","7,868,300"
03/07/2025,"1.020","1.050","1.020","1.030","2,633,000"
03/06/2025,"1.040","1.060","1.010","1.040","4,710,200"
03/05/2025,"1.000","1.040","0.995","1.020","4,466,500"
03/04/2025,"1.030","1.030","0.980","1.000","9,679,800"
03/03/2025,"1.070","1.080","1.030","1.040","3,705,800"
02/28/2025,"1.060","1.060","1.030","1.050","4,103,400"
02/27/2025,"1.060","1.100","1.050","1.080","5,725,100"
02/26/2025,"1.040","1.070","1.030","1.040","3,925,700"
02/25/2025,"1.100","1.120","1.020","1.040","10,576,500"
02/24/2025,"1.170","1.180","1.090","1.100","11,893,600"
02/21/2025,"1.140","1.190","1.120","1.170","14,494,400"
02/20/2025,"1.130","1.140","1.090","1.100","4,804,800"
02/19/2025,"1.090","1.150","1.080","1.130","11,375,100"
02/18/2025,"1.060","1.100","1.060","1.080","2,401,100"
02/17/2025,"1.080","1.080","1.050","1.060","1,612,400"
02/14/2025,"1.100","1.120","1.070","1.080","6,694,000"
02/13/2025,"1.100","1.110","1.060","1.090","2,832,200"
02/12/2025,"1.040","1.100","1.020","1.100","6,460,400"
02/10/2025,"1.040","1.050","1.020","1.040","1,422,200"
02/07/2025,"1.050","1.080","1.030","1.050","5,261,000"
02/06/2025,"1.070","1.080","1.040","1.050","1,702,900"
02/05/2025,"1.050","1.080","1.040","1.060","5,341,700"
02/04/2025,"1.010","1.060","1.010","1.040","6,528,400"
02/03/2025,"1.000","1.040","1.000","1.010","4,424,400"
