Date,Open,High,Low,Close,Volume
08/01/2025,"0.175","0.175","0.160","0.170","80,480,898"
07/31/2025,"0.150","0.180","0.145","0.175","218,587,297"
07/30/2025,"0.170","0.170","0.155","0.160","47,683,398"
07/29/2025,"0.195","0.200","0.180","0.180","51,775,301"
07/28/2025,"0.220","0.225","0.215","0.215","11,678,000"
07/25/2025,"0.220","0.225","0.215","0.220","20,222,100"
07/24/2025,"0.220","0.230","0.210","0.220","19,950,900"
07/23/2025,"0.215","0.225","0.210","0.220","14,780,900"
07/22/2025,"0.220","0.235","0.205","0.215","29,761,400"
07/21/2025,"0.170","0.225","0.170","0.220","63,770,699"
07/18/2025,"0.155","0.160","0.150","0.155","4,526,100"
07/17/2025,"0.155","0.160","0.155","0.155","5,350,000"
07/16/2025,"0.160","0.165","0.155","0.155","6,888,100"
07/15/2025,"0.170","0.170","0.160","0.160","10,590,800"
07/14/2025,"0.165","0.175","0.160","0.165","15,779,400"
07/11/2025,"0.155","0.165","0.155","0.165","8,266,000"
07/10/2025,"0.155","0.160","0.150","0.160","4,565,700"
07/09/2025,"0.150","0.160","0.150","0.155","21,035,600"
07/08/2025,"0.140","0.150","0.140","0.145","12,451,600"
07/07/2025,"0.145","0.150","0.135","0.140","6,406,500"
07/04/2025,"0.145","0.150","0.140","0.145","9,090,000"
07/03/2025,"0.150","0.155","0.140","0.150","17,219,301"
07/02/2025,"0.160","0.165","0.150","0.155","6,476,000"
07/01/2025,"0.150","0.175","0.130","0.160","21,482,301"
06/30/2025,"0.137","0.143","0.134","0.140","10,430,233"
06/26/2025,"0.137","0.140","0.134","0.137","7,245,502"
06/25/2025,"0.137","0.140","0.134","0.134","4,805,608"
06/24/2025,"0.140","0.143","0.137","0.137","5,850,195"
06/23/2025,"0.137","0.140","0.134","0.140","7,310,768"
06/20/2025,"0.137","0.137","0.134","0.137","2,927,200"
06/19/2025,"0.128","0.140","0.128","0.137","13,535,736"
06/18/2025,"0.137","0.140","0.128","0.128","24,820,142"
06/17/2025,"0.146","0.152","0.143","0.143","8,514,314"
06/16/2025,"0.149","0.155","0.143","0.143","9,744,438"
06/13/2025,"0.146","0.155","0.146","0.146","10,551,512"
06/12/2025,"0.149","0.155","0.146","0.146","14,820,360"
06/11/2025,"0.155","0.158","0.149","0.149","5,727,738"
06/10/2025,"0.161","0.161","0.155","0.158","1,849,812"
06/09/2025,"0.152","0.161","0.149","0.161","8,171,838"
06/06/2025,"0.152","0.152","0.149","0.152","943,157"
06/05/2025,"0.146","0.152","0.146","0.152","6,194,186"
06/04/2025,"0.149","0.149","0.143","0.146","1,847,120"
06/03/2025,"0.143","0.149","0.143","0.149","2,252,339"
05/30/2025,"0.149","0.152","0.143","0.146","6,261,638"
05/29/2025,"0.146","0.152","0.143","0.149","6,792,174"
05/28/2025,"0.149","0.149","0.143","0.146","6,222,445"
05/27/2025,"0.149","0.152","0.146","0.149","5,172,139"
05/26/2025,"0.158","0.158","0.149","0.149","6,066,851"
05/23/2025,"0.163","0.169","0.155","0.158","4,703,504"
05/22/2025,"0.163","0.166","0.161","0.166","1,343,498"
05/21/2025,"0.175","0.175","0.163","0.166","2,387,749"
05/20/2025,"0.169","0.175","0.169","0.172","1,303,800"
05/19/2025,"0.178","0.181","0.166","0.172","6,643,140"
05/16/2025,"0.172","0.181","0.169","0.175","6,774,849"
05/15/2025,"0.175","0.175","0.169","0.169","4,531,761"
05/14/2025,"0.175","0.181","0.169","0.172","5,297,119"
05/13/2025,"0.181","0.181","0.172","0.175","6,666,017"
05/09/2025,"0.178","0.184","0.172","0.181","19,936,485"
05/08/2025,"0.163","0.178","0.163","0.178","43,827,936"
05/07/2025,"0.149","0.155","0.149","0.152","1,071,670"
05/06/2025,"0.152","0.152","0.149","0.149","1,147,532"
05/05/2025,"0.155","0.158","0.149","0.149","2,168,402"
